id,slug,name,primary_media_url,media_type,similar_names,instructions,muscles,equipment
ex-0017,sentadilla-goblet-tecnica-base,Sentadilla goblet - Tecnica base,,image,"{""Sentadilla goblet"",""Sentadilla goblet variante"",""Sentadilla goblet tecnica base""}","{""Posicion inicial para sentadilla goblet: separa pies al ancho de hombros, activa abdomen y manten el pecho alto."",""Movimiento: desciende flexionando cadera y rodillas hasta profundidad segura, luego extiende piernas para volver al inicio."",""Variante tecnica base: prioriza alineacion de rodillas, cadera y columna en cada repeticion."",""Respira con control, evita dolor articular y completa 3 a 4 series con tecnica limpia.""}","[{""id"": ""quads"", ""name"": ""Cuadriceps"", ""image_url"": null}, {""id"": ""glutes"", ""name"": ""Gluteos"", ""image_url"": null}]","[{""id"": ""dumbbell"", ""name"": ""Mancuerna"", ""icon_url"": null}]"
ex-0018,sentadilla-goblet-tempo-controlado,Sentadilla goblet - Tempo controlado,,image,"{""Sentadilla goblet"",""Sentadilla goblet variante"",""Sentadilla goblet tempo controlado""}","{""Posicion inicial para sentadilla goblet: separa pies al ancho de hombros, activa abdomen y manten el pecho alto."",""Movimiento: desciende flexionando cadera y rodillas hasta profundidad segura, luego extiende piernas para volver al inicio."",""Variante tempo controlado: usa 3 segundos en la fase de descenso y 1 segundo en la fase de subida."",""Respira con control, evita dolor articular y completa 3 a 4 series con tecnica limpia.""}","[{""id"": ""quads"", ""name"": ""Cuadriceps"", ""image_url"": null}, {""id"": ""glutes"", ""name"": ""Gluteos"", ""image_url"": null}]","[{""id"": ""dumbbell"", ""name"": ""Mancuerna"", ""icon_url"": null}]"
ex-0019,sentadilla-goblet-pausa-isometrica,Sentadilla goblet - Pausa isometrica,,image,"{""Sentadilla goblet"",""Sentadilla goblet variante"",""Sentadilla goblet pausa isometrica""}","{""Posicion inicial para sentadilla goblet: separa pies al ancho de hombros, activa abdomen y manten el pecho alto."",""Movimiento: desciende flexionando cadera y rodillas hasta profundidad segura, luego extiende piernas para volver al inicio."",""Variante pausa isometrica: agrega una pausa de 2 segundos en el punto de mayor tension."",""Respira con control, evita dolor articular y completa 3 a 4 series con tecnica limpia.""}","[{""id"": ""quads"", ""name"": ""Cuadriceps"", ""image_url"": null}, {""id"": ""glutes"", ""name"": ""Gluteos"", ""image_url"": null}]","[{""id"": ""dumbbell"", ""name"": ""Mancuerna"", ""icon_url"": null}]"
ex-0020,sentadilla-goblet-unilateral-alternada,Sentadilla goblet - Unilateral alternada,,image,"{""Sentadilla goblet"",""Sentadilla goblet variante"",""Sentadilla goblet unilateral alternada""}","{""Posicion inicial para sentadilla goblet: separa pies al ancho de hombros, activa abdomen y manten el pecho alto."",""Movimiento: desciende flexionando cadera y rodillas hasta profundidad segura, luego extiende piernas para volver al inicio."",""Variante unilateral alternada: trabaja un lado por vez y alterna sin perder estabilidad."",""Respira con control, evita dolor articular y completa 3 a 4 series con tecnica limpia.""}","[{""id"": ""quads"", ""name"": ""Cuadriceps"", ""image_url"": null}, {""id"": ""glutes"", ""name"": ""Gluteos"", ""image_url"": null}]","[{""id"": ""dumbbell"", ""name"": ""Mancuerna"", ""icon_url"": null}]"
ex-0021,sentadilla-goblet-fuerza,Sentadilla goblet - Fuerza,,image,"{""Sentadilla goblet"",""Sentadilla goblet variante"",""Sentadilla goblet fuerza""}","{""Posicion inicial para sentadilla goblet: separa pies al ancho de hombros, activa abdomen y manten el pecho alto."",""Movimiento: desciende flexionando cadera y rodillas hasta profundidad segura, luego extiende piernas para volver al inicio."",""Variante fuerza: elige una carga desafiante y ejecuta repeticiones tecnicamente limpias."",""Respira con control, evita dolor articular y completa 3 a 4 series con tecnica limpia.""}","[{""id"": ""quads"", ""name"": ""Cuadriceps"", ""image_url"": null}, {""id"": ""glutes"", ""name"": ""Gluteos"", ""image_url"": null}]","[{""id"": ""dumbbell"", ""name"": ""Mancuerna"", ""icon_url"": null}]"
ex-0022,sentadilla-goblet-resistencia,Sentadilla goblet - Resistencia,,image,"{""Sentadilla goblet"",""Sentadilla goblet variante"",""Sentadilla goblet resistencia""}","{""Posicion inicial para sentadilla goblet: separa pies al ancho de hombros, activa abdomen y manten el pecho alto."",""Movimiento: desciende flexionando cadera y rodillas hasta profundidad segura, luego extiende piernas para volver al inicio."",""Variante resistencia: usa carga moderada y acumula mas repeticiones con ritmo constante."",""Respira con control, evita dolor articular y completa 3 a 4 series con tecnica limpia.""}","[{""id"": ""quads"", ""name"": ""Cuadriceps"", ""image_url"": null}, {""id"": ""glutes"", ""name"": ""Gluteos"", ""image_url"": null}]","[{""id"": ""dumbbell"", ""name"": ""Mancuerna"", ""icon_url"": null}]"
ex-0023,sentadilla-goblet-rango-completo,Sentadilla goblet - Rango completo,,image,"{""Sentadilla goblet"",""Sentadilla goblet variante"",""Sentadilla goblet rango completo""}","{""Posicion inicial para sentadilla goblet: separa pies al ancho de hombros, activa abdomen y manten el pecho alto."",""Movimiento: desciende flexionando cadera y rodillas hasta profundidad segura, luego extiende piernas para volver al inicio."",""Variante rango completo: busca el mayor rango de movimiento seguro en cada repeticion."",""Respira con control, evita dolor articular y completa 3 a 4 series con tecnica limpia.""}","[{""id"": ""quads"", ""name"": ""Cuadriceps"", ""image_url"": null}, {""id"": ""glutes"", ""name"": ""Gluteos"", ""image_url"": null}]","[{""id"": ""dumbbell"", ""name"": ""Mancuerna"", ""icon_url"": null}]"
ex-0024,sentadilla-goblet-circuito-metabolico,Sentadilla goblet - Circuito metabolico,,image,"{""Sentadilla goblet"",""Sentadilla goblet variante"",""Sentadilla goblet circuito metabolico""}","{""Posicion inicial para sentadilla goblet: separa pies al ancho de hombros, activa abdomen y manten el pecho alto."",""Movimiento: desciende flexionando cadera y rodillas hasta profundidad segura, luego extiende piernas para volver al inicio."",""Variante circuito metabolico: manten descansos cortos para elevar demanda cardiovascular."",""Respira con control, evita dolor articular y completa 3 a 4 series con tecnica limpia.""}","[{""id"": ""quads"", ""name"": ""Cuadriceps"", ""image_url"": null}, {""id"": ""glutes"", ""name"": ""Gluteos"", ""image_url"": null}]","[{""id"": ""dumbbell"", ""name"": ""Mancuerna"", ""icon_url"": null}]"
ex-0025,sentadilla-bulgara-tecnica-base,Sentadilla bulgara - Tecnica base,,image,"{""Sentadilla bulgara"",""Sentadilla bulgara variante"",""Sentadilla bulgara tecnica base""}","{""Posicion inicial para sentadilla bulgara: inicia con postura erguida, pies al ancho de caderas y mirada al frente."",""Movimiento: da el paso y baja de forma controlada hasta acercar la rodilla trasera al piso, luego impulsa para regresar."",""Variante tecnica base: prioriza alineacion de rodillas, cadera y columna en cada repeticion."",""Respira con control, evita dolor articular y completa 3 a 4 series con tecnica limpia.""}","[{""id"": ""quads"", ""name"": ""Cuadriceps"", ""image_url"": null}, {""id"": ""glutes"", ""name"": ""Gluteos"", ""image_url"": null}]","[{""id"": ""dumbbell"", ""name"": ""Mancuerna"", ""icon_url"": null}, {""id"": ""bench"", ""name"": ""Banco"", ""icon_url"": null}]"
ex-0026,sentadilla-bulgara-tempo-controlado,Sentadilla bulgara - Tempo controlado,,image,"{""Sentadilla bulgara"",""Sentadilla bulgara variante"",""Sentadilla bulgara tempo controlado""}","{""Posicion inicial para sentadilla bulgara: inicia con postura erguida, pies al ancho de caderas y mirada al frente."",""Movimiento: da el paso y baja de forma controlada hasta acercar la rodilla trasera al piso, luego impulsa para regresar."",""Variante tempo controlado: usa 3 segundos en la fase de descenso y 1 segundo en la fase de subida."",""Respira con control, evita dolor articular y completa 3 a 4 series con tecnica limpia.""}","[{""id"": ""quads"", ""name"": ""Cuadriceps"", ""image_url"": null}, {""id"": ""glutes"", ""name"": ""Gluteos"", ""image_url"": null}]","[{""id"": ""dumbbell"", ""name"": ""Mancuerna"", ""icon_url"": null}, {""id"": ""bench"", ""name"": ""Banco"", ""icon_url"": null}]"
ex-0027,sentadilla-bulgara-pausa-isometrica,Sentadilla bulgara - Pausa isometrica,,image,"{""Sentadilla bulgara"",""Sentadilla bulgara variante"",""Sentadilla bulgara pausa isometrica""}","{""Posicion inicial para sentadilla bulgara: inicia con postura erguida, pies al ancho de caderas y mirada al frente."",""Movimiento: da el paso y baja de forma controlada hasta acercar la rodilla trasera al piso, luego impulsa para regresar."",""Variante pausa isometrica: agrega una pausa de 2 segundos en el punto de mayor tension."",""Respira con control, evita dolor articular y completa 3 a 4 series con tecnica limpia.""}","[{""id"": ""quads"", ""name"": ""Cuadriceps"", ""image_url"": null}, {""id"": ""glutes"", ""name"": ""Gluteos"", ""image_url"": null}]","[{""id"": ""dumbbell"", ""name"": ""Mancuerna"", ""icon_url"": null}, {""id"": ""bench"", ""name"": ""Banco"", ""icon_url"": null}]"
ex-0028,sentadilla-bulgara-unilateral-alternada,Sentadilla bulgara - Unilateral alternada,,image,"{""Sentadilla bulgara"",""Sentadilla bulgara variante"",""Sentadilla bulgara unilateral alternada""}","{""Posicion inicial para sentadilla bulgara: inicia con postura erguida, pies al ancho de caderas y mirada al frente."",""Movimiento: da el paso y baja de forma controlada hasta acercar la rodilla trasera al piso, luego impulsa para regresar."",""Variante unilateral alternada: trabaja un lado por vez y alterna sin perder estabilidad."",""Respira con control, evita dolor articular y completa 3 a 4 series con tecnica limpia.""}","[{""id"": ""quads"", ""name"": ""Cuadriceps"", ""image_url"": null}, {""id"": ""glutes"", ""name"": ""Gluteos"", ""image_url"": null}]","[{""id"": ""dumbbell"", ""name"": ""Mancuerna"", ""icon_url"": null}, {""id"": ""bench"", ""name"": ""Banco"", ""icon_url"": null}]"
ex-0029,sentadilla-bulgara-fuerza,Sentadilla bulgara - Fuerza,,image,"{""Sentadilla bulgara"",""Sentadilla bulgara variante"",""Sentadilla bulgara fuerza""}","{""Posicion inicial para sentadilla bulgara: inicia con postura erguida, pies al ancho de caderas y mirada al frente."",""Movimiento: da el paso y baja de forma controlada hasta acercar la rodilla trasera al piso, luego impulsa para regresar."",""Variante fuerza: elige una carga desafiante y ejecuta repeticiones tecnicamente limpias."",""Respira con control, evita dolor articular y completa 3 a 4 series con tecnica limpia.""}","[{""id"": ""quads"", ""name"": ""Cuadriceps"", ""image_url"": null}, {""id"": ""glutes"", ""name"": ""Gluteos"", ""image_url"": null}]","[{""id"": ""dumbbell"", ""name"": ""Mancuerna"", ""icon_url"": null}, {""id"": ""bench"", ""name"": ""Banco"", ""icon_url"": null}]"
ex-0030,sentadilla-bulgara-resistencia,Sentadilla bulgara - Resistencia,,image,"{""Sentadilla bulgara"",""Sentadilla bulgara variante"",""Sentadilla bulgara resistencia""}","{""Posicion inicial para sentadilla bulgara: inicia con postura erguida, pies al ancho de caderas y mirada al frente."",""Movimiento: da el paso y baja de forma controlada hasta acercar la rodilla trasera al piso, luego impulsa para regresar."",""Variante resistencia: usa carga moderada y acumula mas repeticiones con ritmo constante."",""Respira con control, evita dolor articular y completa 3 a 4 series con tecnica limpia.""}","[{""id"": ""quads"", ""name"": ""Cuadriceps"", ""image_url"": null}, {""id"": ""glutes"", ""name"": ""Gluteos"", ""image_url"": null}]","[{""id"": ""dumbbell"", ""name"": ""Mancuerna"", ""icon_url"": null}, {""id"": ""bench"", ""name"": ""Banco"", ""icon_url"": null}]"
ex-0031,sentadilla-bulgara-rango-completo,Sentadilla bulgara - Rango completo,,image,"{""Sentadilla bulgara"",""Sentadilla bulgara variante"",""Sentadilla bulgara rango completo""}","{""Posicion inicial para sentadilla bulgara: inicia con postura erguida, pies al ancho de caderas y mirada al frente."",""Movimiento: da el paso y baja de forma controlada hasta acercar la rodilla trasera al piso, luego impulsa para regresar."",""Variante rango completo: busca el mayor rango de movimiento seguro en cada repeticion."",""Respira con control, evita dolor articular y completa 3 a 4 series con tecnica limpia.""}","[{""id"": ""quads"", ""name"": ""Cuadriceps"", ""image_url"": null}, {""id"": ""glutes"", ""name"": ""Gluteos"", ""image_url"": null}]","[{""id"": ""dumbbell"", ""name"": ""Mancuerna"", ""icon_url"": null}, {""id"": ""bench"", ""name"": ""Banco"", ""icon_url"": null}]"
ex-0032,sentadilla-bulgara-circuito-metabolico,Sentadilla bulgara - Circuito metabolico,,image,"{""Sentadilla bulgara"",""Sentadilla bulgara variante"",""Sentadilla bulgara circuito metabolico""}","{""Posicion inicial para sentadilla bulgara: inicia con postura erguida, pies al ancho de caderas y mirada al frente."",""Movimiento: da el paso y baja de forma controlada hasta acercar la rodilla trasera al piso, luego impulsa para regresar."",""Variante circuito metabolico: manten descansos cortos para elevar demanda cardiovascular."",""Respira con control, evita dolor articular y completa 3 a 4 series con tecnica limpia.""}","[{""id"": ""quads"", ""name"": ""Cuadriceps"", ""image_url"": null}, {""id"": ""glutes"", ""name"": ""Gluteos"", ""image_url"": null}]","[{""id"": ""dumbbell"", ""name"": ""Mancuerna"", ""icon_url"": null}, {""id"": ""bench"", ""name"": ""Banco"", ""icon_url"": null}]"
ex-0033,sentadilla-sumo-tecnica-base,Sentadilla sumo - Tecnica base,,image,"{""Sentadilla sumo"",""Sentadilla sumo variante"",""Sentadilla sumo tecnica base""}","{""Posicion inicial para sentadilla sumo: separa pies al ancho de hombros, activa abdomen y manten el pecho alto."",""Movimiento: desciende flexionando cadera y rodillas hasta profundidad segura, luego extiende piernas para volver al inicio."",""Variante tecnica base: prioriza alineacion de rodillas, cadera y columna en cada repeticion."",""Respira con control, evita dolor articular y completa 3 a 4 series con tecnica limpia.""}","[{""id"": ""adductors"", ""name"": ""Aductores"", ""image_url"": null}, {""id"": ""glutes"", ""name"": ""Gluteos"", ""image_url"": null}]","[{""id"": ""kettlebell"", ""name"": ""Kettlebell"", ""icon_url"": null}]"
ex-0034,sentadilla-sumo-tempo-controlado,Sentadilla sumo - Tempo controlado,,image,"{""Sentadilla sumo"",""Sentadilla sumo variante"",""Sentadilla sumo tempo controlado""}","{""Posicion inicial para sentadilla sumo: separa pies al ancho de hombros, activa abdomen y manten el pecho alto."",""Movimiento: desciende flexionando cadera y rodillas hasta profundidad segura, luego extiende piernas para volver al inicio."",""Variante tempo controlado: usa 3 segundos en la fase de descenso y 1 segundo en la fase de subida."",""Respira con control, evita dolor articular y completa 3 a 4 series con tecnica limpia.""}","[{""id"": ""adductors"", ""name"": ""Aductores"", ""image_url"": null}, {""id"": ""glutes"", ""name"": ""Gluteos"", ""image_url"": null}]","[{""id"": ""kettlebell"", ""name"": ""Kettlebell"", ""icon_url"": null}]"
ex-0035,sentadilla-sumo-pausa-isometrica,Sentadilla sumo - Pausa isometrica,,image,"{""Sentadilla sumo"",""Sentadilla sumo variante"",""Sentadilla sumo pausa isometrica""}","{""Posicion inicial para sentadilla sumo: separa pies al ancho de hombros, activa abdomen y manten el pecho alto."",""Movimiento: desciende flexionando cadera y rodillas hasta profundidad segura, luego extiende piernas para volver al inicio."",""Variante pausa isometrica: agrega una pausa de 2 segundos en el punto de mayor tension."",""Respira con control, evita dolor articular y completa 3 a 4 series con tecnica limpia.""}","[{""id"": ""adductors"", ""name"": ""Aductores"", ""image_url"": null}, {""id"": ""glutes"", ""name"": ""Gluteos"", ""image_url"": null}]","[{""id"": ""kettlebell"", ""name"": ""Kettlebell"", ""icon_url"": null}]"
